venue_name,canonical_venue_name
Allianz Arena,Allianz Arena
Allianz Stadium,Allianz Stadium
Anfield,Anfield
Aspmyra Stadion,Aspmyra Stadion
BayArena,BayArena
Benteler-Arena,Benteler-Arena
Camp Nou,Camp Nou
Campos de Sport de El Sardinero,Campos de Sport de El Sardinero
Coliseum Alfonso Pérez,Coliseum Alfonso Pérez
Craven Cottage,Craven Cottage
Dacia Arena,Dacia Arena
Deutsche Bank Park,Deutsche Bank Park
Elland Road,Elland Road
Emirates Stadium,Emirates Stadium
Estadio Abanca-Riazor,Estadio Abanca-Riazor
Estadio Benito Villamarín,Estadio Benito Villamarín
Estadio Ciudad de Valencia,Estadio Ciudad de Valencia
Estadio El Sadar,Estadio El Sadar
Estadio La Rosaleda,Estadio La Rosaleda
Estadio Manuel Martínez Valero,Estadio Manuel Martínez Valero
Estadio Municipal de Anoeta,Estadio Municipal de Anoeta
Estadio Ramón Sánchez Pizjuán,Estadio Ramón Sánchez Pizjuán
Estadio Santiago Bernabéu,Estadio Santiago Bernabéu
Estadio Wanda Metropolitano,Estadio Wanda Metropolitano
Estadio de Balaídos,Estadio de Balaídos
Estadio de Mendizorroza,Estadio de Mendizorroza
Estadio de Mestalla,Estadio de Mestalla
Estadio de la Cerámica,Estadio de la Cerámica
Estadio del Rayo Vallecano,Estadio del Rayo Vallecano
Estádio Do Dragão,Estádio Do Dragão
Estádio José Alvalade,Estádio José Alvalade
Etihad Stadium,Etihad Stadium
Goodison Park,Goodison Park
Griffin Park,Griffin Park
Groupama Stadium,Groupama Stadium
Jan Breydelstadion,Jan Breydelstadion
Kingston Communications Stadium,Kingston Communications Stadium
MMArena,MMArena
Mapei Stadium - Città del Tricolore,Mapei Stadium - Città del Tricolore
Mercedes-Benz Arena,Mercedes-Benz Arena
Oblasny SportKomplex Metalist,Oblasny SportKomplex Metalist
Old Trafford,Old Trafford
Olympiako Stadio Spyros Louis,Olympiako Stadio Spyros Louis
Opel Arena,Opel Arena
Orange Vélodrome,Orange Vélodrome
Parc des Princes,Parc des Princes
Philips Stadion,Philips Stadion
Portman Road Stadium,Portman Road Stadium
PreZero Arena,PreZero Arena
RCDE Stadium,RCDE Stadium
Raiffeisen Arena,Raiffeisen Arena
Red Bull Arena,Red Bull Arena
RheinEnergieSTADION,RheinEnergieSTADION
Roazhon Park,Roazhon Park
SR-Bank Arena,SR-Bank Arena
San Mamés,San Mamés
Sardegna Arena,Sardegna Arena
Schwarzwald-Stadion,Schwarzwald-Stadion
Selhurst Park,Selhurst Park
Signal Iduna Park,Signal Iduna Park
Sinobo Stadium,Sinobo Stadium
St Andrew's Trillion Trophy Stadium,St Andrew's Trillion Trophy Stadium
St. James' Park,St. James' Park
Stade Bollaert-Delelis,Stade Bollaert-Delelis
Stade Francis-Le Blé,Stade Francis-Le Blé
Stade Louis II.,Stade Louis II.
Stade Océane,Stade Océane
Stade Pierre-Mauroy,Stade Pierre-Mauroy
Stade Raymond Kopa,Stade Raymond Kopa
Stade Sébastien Charléty,Stade Sébastien Charléty
Stade Yves Allainmat - Le Moustoir,Stade Yves Allainmat - Le Moustoir
Stade de Nice,Stade de Nice
Stade de l'Abbé Deschamps,Stade de l'Abbé Deschamps
Stade de l'Aube,Stade de l'Aube
Stade de la Meinau,Stade de la Meinau
Stadio Artemio Franchi,Stadio Artemio Franchi
Stadio Atleti Azzurri d'Italia,Stadio Atleti Azzurri d'Italia
Stadio Benito Stirpe,Stadio Benito Stirpe
Stadio Comunale Brianteo,Stadio Comunale Brianteo
Stadio Comunale Luigi Ferraris,Stadio Comunale Luigi Ferraris
Stadio Comunale Via Del Mare,Stadio Comunale Via Del Mare
Stadio Ennio Tardini,Stadio Ennio Tardini
Stadio Giuseppe Meazza,Stadio Giuseppe Meazza
Stadio Giuseppe Sinigaglia,Stadio Giuseppe Sinigaglia
Stadio Olimpico,Stadio Olimpico
Stadio Olimpico di Torino,Stadio Olimpico di Torino
Stadio Pierluigi Penzo,Stadio Pierluigi Penzo
Stadio Renato Dall'Ara,Stadio Renato Dall'Ara
Stadio San Paolo,Stadio San Paolo
Stadion An der Alten Försterei,Stadion An der Alten Försterei
Stadion Feijenoord,Stadion Feijenoord
Stadion im Borussia-Park,Stadion im Borussia-Park
Stadium Municipal,Stadium Municipal
Stadium of Light,Stadium of Light
Stamford Bridge,Stamford Bridge
The American Express Community Stadium,The American Express Community Stadium
The City Ground,The City Ground
Tottenham Hotspur Stadium,Tottenham Hotspur Stadium
Türk Telekom Arena,Türk Telekom Arena
Ursapharm-Arena an der Kaiserlinde,Ursapharm-Arena an der Kaiserlinde
Veltins-Arena,Veltins-Arena
Villa Park,Villa Park
Vitality Stadium,Vitality Stadium
Volksparkstadion,Volksparkstadion
WWK Arena,WWK Arena
Weserstadion,Weserstadion
Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi
Štadión Tehelné pole,Štadión Tehelné pole
