venue_name,area_code,country_code,latitude,longitude,capacity,needs_review,note,query,display_name
Allianz Arena,DEU,de,48.218790,11.623623,75021,false,,Allianz Arena,"Allianz Arena, 5, Hans-Jensen-Weg, Betriebshof Nord, Freimann, Schwabing-Freimann, München, Bayern, 80939, Deutschland"
Allianz Stadium,ITA,it,45.109576,7.642134,,false,,Allianz Stadium,"Allianz Stadium, Via Druento, Continassa, Vallette, Circoscrizione 5, Torino, Piemonte, 10151, Italia"
Anfield,ENG,gb,53.430901,-2.960972,54074,false,,Anfield,"Anfield, Anfield Road, Anfield, Liverpool, Liverpool City Region, England, L4 0TH, United Kingdom"
Aspmyra Stadion,NOR,no,67.276648,14.384434,,false,,Aspmyra Stadion,"Aspmyra stadion, Hålogalandsgata, Aspåsen, Vestbyen, Hernes - Hierggenjárgga - Härrgenjárrga, Bodø, Nordland, 8004, Norge"
BayArena,DEU,de,51.038144,7.003096,,false,,BayArena,"BayArena, 122-124, Bismarckstraße, Küppersteg, Stadtbezirk II, Leverkusen, Nordrhein-Westfalen, 51373, Deutschland"
Benteler-Arena,DEU,de,51.730897,8.710963,15000,false,,Benteler-Arena,"Home Deluxe Arena, 1, Wilfried-Finke-Allee, Schloß Neuhaus, Paderborn, Kreis Paderborn, Nordrhein-Westfalen, 33104, Deutschland"
Camp Nou,ESP,es,41.380881,2.122818,99354,false,,Spotify Camp Nou,"Spotify Camp Nou, Avinguda de Joan XXIII, la Maternitat, la Maternitat i Sant Ramon, les Corts, Barcelona, Barcelonès, Barcelona, Catalunya, 08028, España"
Campos de Sport de El Sardinero,ESP,es,43.476261,-3.793953,22514,false,,Estadio El Sardinero Santander,"Estadio El Sardinero, 4, Calle del Real Racing Club, El Sardinero, Tetuán, Cueto, Santander, Cantabria, 39005, España"
Coliseum Alfonso Pérez,ESP,es,40.325725,-3.714933,,false,,Coliseum Alfonso Pérez,"Coliseum, Avenida Teresa de Calcuta, Los Espartales, Getafe Norte, Getafe, Comunidad de Madrid, 28903, España"
Craven Cottage,ENG,gb,51.474922,-0.221745,25700,false,,Craven Cottage,"Craven Cottage, Stevenage Road, Fulham, London Borough of Hammersmith and Fulham, Greater London, England, SW6 6HH, United Kingdom"
Dacia Arena,ITA,it,46.081402,13.199741,,false,,Dacia Arena,"Bluenergy Stadium, Viale Pier Paolo Pasolini, Villaggio del Sole, Rizzi / I Riçs, Udine, Friuli-Venezia Giulia, 33100, Italia"
Deutsche Bank Park,DEU,de,50.068610,8.645415,,false,,Deutsche Bank Park,"Deutsche Bank Park, 362, Mörfelder Landstraße, Sachsenhausen Süd, Sachsenhausen, Süd, Frankfurt am Main, Hessen, 60528, Deutschland"
Elland Road,ENG,gb,53.777861,-1.572178,39460,false,,Elland Road,"Elland Road Stadium, Elland Road, Islington, Beeston, Leeds, West Yorkshire, England, LS11 0ES, United Kingdom"
Emirates Stadium,ENG,gb,51.555040,-0.108400,60361,false,,Emirates Stadium,"Emirates Stadium, 75, Drayton Park, Finsbury Park, London Borough of Islington, Greater London, England, N5 1BU, United Kingdom"
Estadio Abanca-Riazor,ESP,es,43.368716,-8.417510,33091,false,,Estadio Abanca-Riazor,"Estadio ABANCA-RIAZOR, 1, Rúa Manuel Murguía, San Roque de Fóra, Riazor, A Coruña, Galicia, 15011, España"
Estadio Benito Villamarín,ESP,es,37.356450,-5.980918,,false,,Estadio Benito Villamarín,"Estadio Benito Villamarín, Avenida Padre García Tejero, Heliópolis, Distrito Bellavista-La Palmera, Sevilla, Andalucía, 41012, España"
Estadio Ciudad de Valencia,ESP,es,39.494642,-0.363862,,false,,Estadio Ciudad de Valencia,"Estadi Ciutat de València, Carrer de Santiago Rusiñol, Sant Llorenç, Rascanya, València, Comarca de València, València / Valencia, Comunitat Valenciana, 46019, España"
Estadio El Sadar,ESP,es,42.796662,-1.637131,,false,,Estadio El Sadar,"Estadio El Sadar, Sadar kalea, Arrosadia, Milagrosa-Arrosadia, Pamplona / Iruña, Iruñerria, Navarra, Navarra / Nafarroa, 31006, España"
Estadio La Rosaleda,ESP,es,36.734943,-4.426535,,false,,Estadio La Rosaleda,"Estadio La Rosaleda, Paseo Martiricos, Martiricos, Palma-Palmilla, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29011, España"
Estadio Manuel Martínez Valero,ESP,es,38.267044,-0.663305,,false,,Estadio Manuel Martínez Valero,"Estadi Manuel Martínez Valero, avinguda Manuel Martínez Valero, Camp de Futbol, Urbanització Les Atzavares, Elx / Elche, el Baix Vinalopó, Alacant / Alicante, Comunitat Valenciana, 03202, España"
